
Pearsall		9146		10609		16.00%
Pecan Gap		203		197		-2.96%
Pecan Hill		626		694		10.86%
Pecos		8780		10461		19.15%
Pelican Bay		1547		2005		29.61%
Penelope		198		207		4.55%
Pe�itas		4403		4716		7.11%
Perryton		8802		8512		-3.29%
Petersburg		1202		1132		-5.82%
Petrolia		686		670		-2.33%
Petronila		113		120		6.19%
Pflugerville		46936		65380		39.30%
Pharr		70400		79112		12.38%
Pilot Point		3856		4525		17.35%
Pine Forest		487		519		6.57%
Pinehurst		2097		1976		-5.77%
Pine Island		988		1159		17.31%
Pineland		850		800		-5.88%
Piney Point Village		3125		3444		10.21%
Pittsburg		4497		4697		4.45%
Plains		1481		1655		11.75%
